,urban_score,oxford_score,follower_score,favorite_score,friend_score,sex_words_ratio,posneg,compound
24153,0.0606061,0.0,0.000341471,0.109648,0.0006393519999999999,0.0121951219512195,0.0,0.0
24154,0.030302999999999997,0.0,0.000341471,0.109648,0.0006393519999999999,0.006968641114982579,0.0,0.0
24155,0.0909091,0.0,0.000341471,0.109648,0.0006393519999999999,0.0487804878048781,0.0,0.0
24156,0.0909091,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.0133037694013304,0.19999999999999998,0.5544
24157,0.0606061,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.0102695763799743,-0.149,-0.552
24158,0.030302999999999997,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.010840108401084,0.0,0.0
24159,0.181818,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.0254506892895016,-0.05499999999999999,-0.0772
24160,0.151515,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.0187617260787993,0.146,0.3457
24161,0.0606061,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.010840108401084,0.0,0.0
24162,0.030302999999999997,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.0075046904315197,-0.296,-0.4939
24163,0.030302999999999997,0.0,0.000341471,0.109648,0.0006393519999999999,0.0075046904315197,0.127,0.1901
24164,0.0909091,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.0121951219512195,-0.16399999999999998,-0.7096
24165,0.0909091,0.021052599999999998,0.000341471,0.109648,0.0006393519999999999,0.0443458980044346,0.133,0.4215
24166,0.0909091,0.0,0.000341471,0.109648,0.0006393519999999999,0.0127253446447508,0.037000000000000005,0.2263
24167,0.12121199999999999,0.0,0.000341471,0.109648,0.0006393519999999999,0.016260162601626,0.191,0.5423
24168,0.0606061,0.0,0.000341471,0.109648,0.0006393519999999999,0.009291521486643441,0.027999999999999997,0.1623
24169,0.030302999999999997,0.0,0.000341471,0.109648,0.0006393519999999999,0.00609756097560976,-0.127,-0.1901
24170,0.272727,0.010526299999999999,0.000341471,0.109648,0.0006393519999999999,0.0348432055749129,0.053,0.0772
24171,0.12121199999999999,0.0,0.000341471,0.109648,0.0006393519999999999,0.015609756097561,0.01999999999999999,0.1628
24172,0.0606061,0.021052599999999998,0.000341471,0.109648,0.0006393519999999999,0.024390243902439,0.163,0.4084
24173,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,-0.021000000000000005,-0.1449
24174,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,0.406,0.7804
24175,0.0606061,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.008130081300813009,-0.101,-0.3549
